Year,Age,Sex,Mortality Rate
2016,15-64,Male,0.002761379
2016,65-89,Female,0.038028824
2016,65-89,Male,0.05641560999999999
2016,90+,Female,0.3420072533333333
2016,90+,Male,0.3707202166666666
2017,0,Female,0.00284
2017,0,Male,0.00303
2017,1-14,Female,8.85e-05
2017,1-14,Male,0.00012600333333333334
2017,15-64,Female,0.001405704
2017,15-64,Male,0.002679773
2017,65-89,Female,0.039240750000000005
2017,65-89,Male,0.056891342
2017,90+,Female,0.35317482
2017,90+,Male,0.37399957
2018,0,Female,0.00238
2018,0,Male,0.003
2018,1-14,Female,7.75e-05
2018,1-14,Male,0.00010350000000000001
2018,15-64,Female,0.001419835
2018,15-64,Male,0.002687185
2018,65-89,Female,0.038215406
2018,65-89,Male,0.055996142000000006
2018,90+,Female,0.35876972999999995
2018,90+,Male,0.38536123333333333
2019,0,Female,0.00258
2019,0,Male,0.00339
2019,1-14,Female,0.00010450333333333335
2019,1-14,Male,0.0001330066666666667
2019,15-64,Female,0.0013555020000000002
2019,15-64,Male,0.002546981
2019,65-89,Female,0.037219586
2019,65-89,Male,0.054781912
2019,90+,Female,0.3511149466666666
2019,90+,Male,0.39179454333333336
