IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",2,"Female",228,0,14,"0-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",654347.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",1,"Male",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2750289
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",2,"Female",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2739249
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",1,"Male",45,65,null,"65+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",479692
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",2,"Female",45,65,null,"65+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",769881
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",1,"Male",19,90,null,"90+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",10458
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",2,"Female",19,90,null,"90+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36640.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",1,"Male",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79722.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",2,"Female",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",75665.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",1,"Male",228,0,14,"0-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",684032
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",2,"Female",228,0,14,"0-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",650529.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",1,"Male",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2770447.5
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",2,"Female",40,15,64,"15-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2760685
70,"Population by age and sex - broad age groups","Population by age and sex - broad age groups","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",1,"Male",45,65,null,"65+",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",487059.5
