IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",80,"2029",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.471
59,"Crude death rate","Crude death rate (deaths per 1,000 population)","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",10.546
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39601
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",52150
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",157365
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4819
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8813
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",11254
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",77,"2026",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",13212
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",78,"2027",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",15049
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",79,"2028",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",17180
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",80,"2029",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",15610
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",14549
