Year,Total fertility rate,Net Migration Rate,Female 15-64 population,Predicted births,Predicted deaths,Predicted net migration,predicted_total_population,Predicted birth rate,Predicted death rate,Predicted net migration rate
2019,1.464192,0.004627,2938050.0,122910.55158857143,114205.24419736778,41091.813252,8880876.0,0.013839913043327193,0.012859682332842817,0.004627
2020,1.5105784263157904,0.006745305263157864,2929997.6677473136,126456.8933158478,119565.20971773233,60235.81948164634,8930036.096460741,0.01416084906599277,0.013389107101719314,0.006745305263157864
2021,1.518425438345865,0.006895539097744319,2929558.9248109185,127094.76555903029,124964.57302078679,62017.84200869508,8993907.67416321,0.014131206385866658,0.01389435799744447,0.006895539097744319
2022,1.5262724503759397,0.007045772932330774,2931347.2965811715,127829.56060730945,128219.54479786956,63803.04599595003,9055506.98393621,0.014116223512838045,0.014159289482667444,0.007045772932330774
2023,1.5341194624060144,0.007196006766917229,2935447.6624258817,128666.49685147958,130097.70978691691,65619.33971213551,9118854.64224582,0.014109940546194646,0.014266891500189111,0.007196006766917229
2024,1.5419664744360908,0.00734624060150374,2941256.0397651736,129580.52017287324,130929.87662662078,67450.62857548772,9181652.52601186,0.01411298454235425,0.014259946807580992,0.007346240601503742
2025,1.5498134864661655,0.007496474436090195,2948847.8286694433,130576.11812595348,131110.27563385572,69314.58261691076,9246290.800807685,0.014121999939105026,0.014179769862137901,0.0074964744360901964
2026,1.55766049849624,0.00764670827067665,2958214.837762705,131654.12568138368,130881.18294041895,71220.6118481608,9313891.58930978,0.014135243514375081,0.014052255352707847,0.0076467082706766516
2027,1.5655075105263165,0.007796942105263105,2969430.4910816373,132819.02102211863,130444.34538831474,73182.87727065383,9386099.868723381,0.014150608120493348,0.013897608933715373,0.007796942105263104
2028,1.5733545225563912,0.00794717593984956,2982341.7535422365,134065.16816412675,129867.57611048524,75199.08542653405,9462365.750513079,0.014168250488188677,0.01372464133543384,0.007947175939849558
2029,1.5812015345864658,0.008097409774436015,2996938.2524198396,135393.23896534662,129232.83784242858,77274.82824953625,9543153.971717883,0.014187472964032478,0.013541942027281898,0.008097409774436013
2030,1.5890485466165423,0.008247643609022526,3012944.066727566,136791.83972201066,128514.80381464672,79398.52527725419,9626813.31070077,0.014209462187238892,0.013349672385543711,0.008247643609022526
